Constituents (Atomic Number : Fraction by Weight)
 Z=1	: 0.080541
 Z=6	: 0.599846
 Z=8	: 0.319613
       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       5.300E-02 1.371E-02 1.751E-01 1.324E-02 0.000E+00 0.000E+00 2.021E-01 1.884E-01
       5.400E-02 1.325E-02 1.748E-01 1.244E-02 0.000E+00 0.000E+00 2.005E-01 1.872E-01
       5.500E-02 1.281E-02 1.745E-01 1.171E-02 0.000E+00 0.000E+00 1.990E-01 1.862E-01
       5.600E-02 1.240E-02 1.741E-01 1.103E-02 0.000E+00 0.000E+00 1.975E-01 1.851E-01
       5.700E-02 1.200E-02 1.738E-01 1.040E-02 0.000E+00 0.000E+00 1.962E-01 1.842E-01
       5.800E-02 1.163E-02 1.734E-01 9.818E-03 0.000E+00 0.000E+00 1.948E-01 1.832E-01
       5.900E-02 1.127E-02 1.730E-01 9.277E-03 0.000E+00 0.000E+00 1.936E-01 1.823E-01
       6.000E-02 1.092E-02 1.727E-01 8.773E-03 0.000E+00 0.000E+00 1.924E-01 1.815E-01
       6.100E-02 1.059E-02 1.723E-01 8.305E-03 0.000E+00 0.000E+00 1.912E-01 1.806E-01
       6.200E-02 1.028E-02 1.720E-01 7.869E-03 0.000E+00 0.000E+00 1.901E-01 1.798E-01
       6.300E-02 9.981E-03 1.716E-01 7.462E-03 0.000E+00 0.000E+00 1.890E-01 1.791E-01
       6.400E-02 9.694E-03 1.712E-01 7.082E-03 0.000E+00 0.000E+00 1.880E-01 1.783E-01
       6.500E-02 9.419E-03 1.709E-01 6.727E-03 0.000E+00 0.000E+00 1.870E-01 1.776E-01
       6.600E-02 9.156E-03 1.705E-01 6.395E-03 0.000E+00 0.000E+00 1.861E-01 1.769E-01
       6.700E-02 8.903E-03 1.701E-01 6.084E-03 0.000E+00 0.000E+00 1.851E-01 1.762E-01
       6.800E-02 8.661E-03 1.698E-01 5.792E-03 0.000E+00 0.000E+00 1.842E-01 1.756E-01
       6.900E-02 8.428E-03 1.694E-01 5.518E-03 0.000E+00 0.000E+00 1.833E-01 1.749E-01
       7.000E-02 8.204E-03 1.690E-01 5.261E-03 0.000E+00 0.000E+00 1.825E-01 1.743E-01
